starttime	seconds	ctime	dtime	ttime	wait
Fri Nov 12 17:01:48 2021	1636707708	0	238	238	229
Fri Nov 12 17:01:51 2021	1636707711	0	243	243	242
Fri Nov 12 17:01:32 2021	1636707692	6	241	247	240
Fri Nov 12 17:01:38 2021	1636707698	0	249	249	248
Fri Nov 12 17:01:38 2021	1636707698	0	250	250	249
Fri Nov 12 17:01:32 2021	1636707692	5	246	251	245
Fri Nov 12 17:01:51 2021	1636707711	0	251	251	251
Fri Nov 12 17:01:33 2021	1636707693	0	252	252	251
Fri Nov 12 17:01:35 2021	1636707695	0	253	253	253
Fri Nov 12 17:01:34 2021	1636707694	0	255	255	96
Fri Nov 12 17:01:36 2021	1636707696	0	256	256	255
Fri Nov 12 17:01:50 2021	1636707710	0	256	256	255
Fri Nov 12 17:01:32 2021	1636707692	6	254	260	254
Fri Nov 12 17:01:32 2021	1636707692	6	255	261	255
Fri Nov 12 17:01:48 2021	1636707708	0	262	262	261
Fri Nov 12 17:01:51 2021	1636707711	0	262	262	261
Fri Nov 12 17:01:50 2021	1636707710	0	266	266	265
Fri Nov 12 17:01:48 2021	1636707708	0	268	268	268
Fri Nov 12 17:01:38 2021	1636707698	0	273	273	272
Fri Nov 12 17:01:45 2021	1636707705	0	274	274	273
Fri Nov 12 17:01:51 2021	1636707711	0	276	276	275
Fri Nov 12 17:01:44 2021	1636707704	0	277	277	65
Fri Nov 12 17:01:38 2021	1636707698	0	279	279	279
Fri Nov 12 17:01:38 2021	1636707698	0	280	280	280
Fri Nov 12 17:01:38 2021	1636707698	0	283	283	283
Fri Nov 12 17:01:45 2021	1636707705	0	286	286	285
Fri Nov 12 17:01:50 2021	1636707710	0	287	287	285
Fri Nov 12 17:01:48 2021	1636707708	0	287	287	241
Fri Nov 12 17:01:42 2021	1636707702	0	289	290	287
Fri Nov 12 17:01:48 2021	1636707708	0	291	291	290
Fri Nov 12 17:01:32 2021	1636707692	6	285	291	284
Fri Nov 12 17:01:47 2021	1636707707	0	292	292	291
Fri Nov 12 17:01:34 2021	1636707694	0	293	293	291
Fri Nov 12 17:01:51 2021	1636707711	0	293	293	293
Fri Nov 12 17:01:45 2021	1636707705	0	297	297	296
Fri Nov 12 17:01:50 2021	1636707710	0	297	297	297
Fri Nov 12 17:01:45 2021	1636707705	0	298	298	290
Fri Nov 12 17:01:44 2021	1636707704	0	299	299	299
Fri Nov 12 17:01:43 2021	1636707703	0	299	299	299
Fri Nov 12 17:01:51 2021	1636707711	0	300	300	299
Fri Nov 12 17:01:45 2021	1636707705	0	300	300	300
Fri Nov 12 17:01:38 2021	1636707698	0	300	300	300
Fri Nov 12 17:01:51 2021	1636707711	0	301	301	226
Fri Nov 12 17:01:48 2021	1636707708	0	301	301	301
Fri Nov 12 17:01:51 2021	1636707711	0	302	302	302
Fri Nov 12 17:01:45 2021	1636707705	0	304	304	304
Fri Nov 12 17:01:48 2021	1636707708	0	305	305	300
Fri Nov 12 17:01:48 2021	1636707708	0	307	307	307
Fri Nov 12 17:01:48 2021	1636707708	0	308	308	307
Fri Nov 12 17:01:50 2021	1636707710	1	308	310	306
Fri Nov 12 17:01:50 2021	1636707710	0	310	310	280
Fri Nov 12 17:01:51 2021	1636707711	0	311	311	310
Fri Nov 12 17:01:50 2021	1636707710	0	311	311	310
Fri Nov 12 17:01:45 2021	1636707705	0	312	312	311
Fri Nov 12 17:01:36 2021	1636707696	0	312	312	311
Fri Nov 12 17:01:50 2021	1636707710	0	315	315	314
Fri Nov 12 17:01:36 2021	1636707696	0	316	316	312
Fri Nov 12 17:01:47 2021	1636707707	0	316	316	316
Fri Nov 12 17:01:42 2021	1636707702	0	318	318	318
Fri Nov 12 17:01:38 2021	1636707698	0	319	319	319
Fri Nov 12 17:01:47 2021	1636707707	0	320	320	320
Fri Nov 12 17:01:33 2021	1636707693	2	320	322	320
Fri Nov 12 17:01:32 2021	1636707692	6	317	322	316
Fri Nov 12 17:01:50 2021	1636707710	0	323	323	322
Fri Nov 12 17:01:45 2021	1636707705	0	323	323	323
Fri Nov 12 17:01:50 2021	1636707710	0	324	324	323
Fri Nov 12 17:01:38 2021	1636707698	0	325	325	324
Fri Nov 12 17:01:50 2021	1636707710	0	325	325	325
Fri Nov 12 17:01:44 2021	1636707704	0	325	325	320
Fri Nov 12 17:01:48 2021	1636707708	0	327	327	326
Fri Nov 12 17:01:50 2021	1636707710	0	328	328	328
Fri Nov 12 17:01:36 2021	1636707696	0	329	329	324
Fri Nov 12 17:01:32 2021	1636707692	0	331	331	330
Fri Nov 12 17:01:34 2021	1636707694	0	334	334	333
Fri Nov 12 17:01:41 2021	1636707701	0	338	338	336
Fri Nov 12 17:01:48 2021	1636707708	0	338	338	337
Fri Nov 12 17:01:32 2021	1636707692	5	334	338	333
Fri Nov 12 17:01:40 2021	1636707700	0	338	339	338
Fri Nov 12 17:01:45 2021	1636707705	0	340	340	340
Fri Nov 12 17:01:51 2021	1636707711	0	342	342	341
Fri Nov 12 17:01:34 2021	1636707694	0	343	343	341
Fri Nov 12 17:01:40 2021	1636707700	0	347	347	70
Fri Nov 12 17:01:50 2021	1636707710	0	347	347	346
Fri Nov 12 17:01:51 2021	1636707711	0	349	349	348
Fri Nov 12 17:01:48 2021	1636707708	0	351	351	350
Fri Nov 12 17:01:41 2021	1636707701	0	351	351	351
Fri Nov 12 17:01:32 2021	1636707692	5	347	352	345
Fri Nov 12 17:01:40 2021	1636707700	0	353	353	352
Fri Nov 12 17:01:35 2021	1636707695	0	354	354	353
Fri Nov 12 17:01:45 2021	1636707705	0	355	355	355
Fri Nov 12 17:01:32 2021	1636707692	6	351	356	350
Fri Nov 12 17:01:34 2021	1636707694	0	357	357	356
Fri Nov 12 17:01:35 2021	1636707695	0	358	358	358
Fri Nov 12 17:01:41 2021	1636707701	0	358	358	357
Fri Nov 12 17:01:34 2021	1636707694	0	362	362	360
Fri Nov 12 17:01:33 2021	1636707693	0	362	362	361
Fri Nov 12 17:01:38 2021	1636707698	0	363	363	362
Fri Nov 12 17:01:41 2021	1636707701	0	367	367	366
Fri Nov 12 17:01:48 2021	1636707708	0	368	368	366
Fri Nov 12 17:01:34 2021	1636707694	0	369	369	368
Fri Nov 12 17:01:34 2021	1636707694	0	374	374	374
Fri Nov 12 17:01:37 2021	1636707697	0	376	376	374
Fri Nov 12 17:01:47 2021	1636707707	0	377	377	376
Fri Nov 12 17:01:32 2021	1636707692	6	372	377	371
Fri Nov 12 17:01:35 2021	1636707695	0	379	379	378
Fri Nov 12 17:01:40 2021	1636707700	0	379	379	378
Fri Nov 12 17:01:32 2021	1636707692	5	375	380	374
Fri Nov 12 17:01:51 2021	1636707711	0	381	381	380
Fri Nov 12 17:01:45 2021	1636707705	0	381	381	380
Fri Nov 12 17:01:47 2021	1636707707	0	381	381	375
Fri Nov 12 17:01:50 2021	1636707710	0	386	386	386
Fri Nov 12 17:01:32 2021	1636707692	5	382	387	382
Fri Nov 12 17:01:45 2021	1636707705	0	390	390	388
Fri Nov 12 17:01:50 2021	1636707710	0	391	391	390
Fri Nov 12 17:01:35 2021	1636707695	0	391	391	390
Fri Nov 12 17:01:41 2021	1636707701	0	393	393	393
Fri Nov 12 17:01:32 2021	1636707692	0	393	393	390
Fri Nov 12 17:01:45 2021	1636707705	0	394	394	391
Fri Nov 12 17:01:34 2021	1636707694	0	395	395	392
Fri Nov 12 17:01:46 2021	1636707706	0	395	395	395
Fri Nov 12 17:01:32 2021	1636707692	5	392	397	392
Fri Nov 12 17:01:32 2021	1636707692	0	397	397	397
Fri Nov 12 17:01:35 2021	1636707695	1	397	397	396
Fri Nov 12 17:01:47 2021	1636707707	0	398	398	397
Fri Nov 12 17:01:44 2021	1636707704	0	401	401	63
Fri Nov 12 17:01:50 2021	1636707710	0	402	402	402
Fri Nov 12 17:01:50 2021	1636707710	0	404	404	404
Fri Nov 12 17:01:45 2021	1636707705	0	406	406	405
Fri Nov 12 17:01:48 2021	1636707708	0	406	406	405
Fri Nov 12 17:01:35 2021	1636707695	0	407	407	406
Fri Nov 12 17:01:50 2021	1636707710	0	407	407	398
Fri Nov 12 17:01:32 2021	1636707692	0	409	409	408
Fri Nov 12 17:01:34 2021	1636707694	0	410	410	409
Fri Nov 12 17:01:36 2021	1636707696	0	410	410	410
Fri Nov 12 17:01:35 2021	1636707695	0	413	413	412
Fri Nov 12 17:01:44 2021	1636707704	0	415	415	415
Fri Nov 12 17:01:34 2021	1636707694	0	415	415	415
Fri Nov 12 17:01:50 2021	1636707710	0	416	416	416
Fri Nov 12 17:01:47 2021	1636707707	0	416	417	416
Fri Nov 12 17:01:32 2021	1636707692	4	412	417	412
Fri Nov 12 17:01:34 2021	1636707694	0	417	417	417
Fri Nov 12 17:01:50 2021	1636707710	0	417	417	417
Fri Nov 12 17:01:50 2021	1636707710	0	418	418	418
Fri Nov 12 17:01:44 2021	1636707704	0	420	420	419
Fri Nov 12 17:01:40 2021	1636707700	0	421	421	420
Fri Nov 12 17:01:34 2021	1636707694	0	422	422	421
Fri Nov 12 17:01:48 2021	1636707708	0	427	427	315
Fri Nov 12 17:01:40 2021	1636707700	0	427	427	417
Fri Nov 12 17:01:32 2021	1636707692	0	429	430	429
Fri Nov 12 17:01:50 2021	1636707710	0	431	431	430
Fri Nov 12 17:01:34 2021	1636707694	0	432	432	432
Fri Nov 12 17:01:32 2021	1636707692	0	433	433	432
Fri Nov 12 17:01:38 2021	1636707698	0	433	433	432
Fri Nov 12 17:01:42 2021	1636707702	0	434	434	432
Fri Nov 12 17:01:32 2021	1636707692	5	430	435	430
Fri Nov 12 17:01:47 2021	1636707707	0	437	437	436
Fri Nov 12 17:01:45 2021	1636707705	0	440	440	440
Fri Nov 12 17:01:32 2021	1636707692	5	437	442	437
Fri Nov 12 17:01:41 2021	1636707701	0	442	442	441
Fri Nov 12 17:01:36 2021	1636707696	0	443	443	443
Fri Nov 12 17:01:38 2021	1636707698	0	443	443	443
Fri Nov 12 17:01:32 2021	1636707692	0	444	444	443
Fri Nov 12 17:01:37 2021	1636707697	0	446	446	443
Fri Nov 12 17:01:46 2021	1636707706	0	446	446	445
Fri Nov 12 17:01:51 2021	1636707711	0	447	447	446
Fri Nov 12 17:01:47 2021	1636707707	0	447	447	446
Fri Nov 12 17:01:47 2021	1636707707	0	448	448	446
Fri Nov 12 17:01:47 2021	1636707707	0	451	451	450
Fri Nov 12 17:01:32 2021	1636707692	0	451	451	450
Fri Nov 12 17:01:48 2021	1636707708	0	452	452	452
Fri Nov 12 17:01:40 2021	1636707700	0	453	453	452
Fri Nov 12 17:01:47 2021	1636707707	0	453	453	452
Fri Nov 12 17:01:45 2021	1636707705	0	453	453	441
Fri Nov 12 17:01:51 2021	1636707711	0	454	454	453
Fri Nov 12 17:01:45 2021	1636707705	0	454	454	453
Fri Nov 12 17:01:50 2021	1636707710	0	454	454	454
Fri Nov 12 17:01:32 2021	1636707692	6	449	455	445
Fri Nov 12 17:01:33 2021	1636707693	0	455	456	455
Fri Nov 12 17:01:33 2021	1636707693	0	457	457	456
Fri Nov 12 17:01:41 2021	1636707701	0	460	460	447
Fri Nov 12 17:01:51 2021	1636707711	0	460	460	459
Fri Nov 12 17:01:37 2021	1636707697	0	462	462	408
Fri Nov 12 17:01:40 2021	1636707700	0	462	462	462
Fri Nov 12 17:01:35 2021	1636707695	0	463	463	463
Fri Nov 12 17:01:34 2021	1636707694	0	463	464	463
Fri Nov 12 17:01:33 2021	1636707693	0	465	465	465
Fri Nov 12 17:01:33 2021	1636707693	0	466	466	465
Fri Nov 12 17:01:32 2021	1636707692	4	462	467	460
